Created as New Dataset,Sample 052 By Administrator Date Tuesday, October 29 2019
cm-1,A,
5898.5,0.4624,
5898.38,0.4638,
5898.25,0.4647,
5898.13,0.4652,
5898,0.4654,
5897.88,0.4651,
5897.75,0.4642,
5897.63,0.4629,
5897.5,0.4621,
5897.38,0.4624,
5897.25,0.4634,
5897.13,0.4642,
5897,0.4645,
5896.88,0.4642,
5896.75,0.4633,
5896.63,0.4623,
5896.5,0.4617,
5896.38,0.462,
5896.25,0.4626,
5896.13,0.4632,
5896,0.4637,
5895.88,0.4644,
5895.75,0.4646,
5895.63,0.4643,
5895.5,0.4637,
5895.38,0.4632,
5895.25,0.4629,
5895.13,0.4625,
5895,0.4621,
5894.88,0.4619,
5894.75,0.4619,
5894.63,0.462,
5894.5,0.4621,
5894.38,0.4622,
5894.25,0.4621,
5894.13,0.4621,
5894,0.4626,
5893.88,0.4638,
5893.75,0.4651,
5893.63,0.4652,
5893.5,0.4642,
5893.38,0.4629,
5893.25,0.4624,
5893.13,0.4625,
5893,0.4625,
5892.88,0.4623,
5892.75,0.4619,
5892.63,0.4617,
5892.5,0.4615,
5892.38,0.4614,
5892.25,0.4615,
5892.13,0.4621,
5892,0.4632,
5891.88,0.4646,
5891.75,0.4657,
5891.63,0.4663,
5891.5,0.4663,
5891.38,0.466,
5891.25,0.4655,
5891.13,0.4649,
5891,0.4645,
5890.88,0.4645,
5890.75,0.465,
5890.63,0.4656,
5890.5,0.466,
5890.38,0.4657,
5890.25,0.4648,
5890.13,0.4637,
5890,0.4632,
5889.88,0.4637,
5889.75,0.4647,
5889.63,0.4654,
5889.5,0.4654,
5889.38,0.465,
5889.25,0.4648,
5889.13,0.4651,
5889,0.4657,
5888.88,0.4664,
5888.75,0.4663,
5888.63,0.4654,
5888.5,0.4639,
5888.38,0.4626,
5888.25,0.4619,
5888.13,0.4621,
5888,0.4632,
5887.88,0.4648,
5887.75,0.4659,
5887.63,0.4657,
5887.5,0.4646,
5887.38,0.4637,
5887.25,0.4638,
5887.13,0.4644,
5887,0.4647,
5886.88,0.4646,
5886.75,0.4641,
5886.63,0.4634,
5886.5,0.4627,
5886.38,0.4623,
5886.25,0.4628,
5886.13,0.4639,
5886,0.4649,
5885.88,0.4653,
5885.75,0.4651,
5885.63,0.4646,
5885.5,0.4638,
5885.38,0.4627,
5885.25,0.4618,
